,p_opt,ip_opt,Temp,ip,RRDD,I,p,L,AUDPC,GDUsum,H,HSEN,LeakI,LeakL,R,LAT,CumuLeak,DIS,TOTSITES,Sev,DVS8,RAUPC,GDU,RTinc,SITEmax,RRG,RG,Rc_W,RRLEX,inocp,RcOpt,RcT,RcA,Rc,COFR,Agg,RRSEN,RSEN,RLEX,RDI,REM,RT,RDL,RI
81,10,28,25.5890237,28.0,0.0001,12374.367077676005,11.102648194626479,1847.5013774552363,0.040043890710321904,1037.0322505,8442999.147136975,1540675.3295404257,22.579594892247638,15.270504707058674,2038.1163005418446,0,37.85009959930631,16297.834855272391,9999972.311532672,0.0016297879981604128,3.930271836244541,0.0016297879981604128,11.589023699999998,11.589023699999998,10000000,0.173,4.044285114392653,3,0.01,10,0.24,0.5628781040000002,0.007065843559170351,0.0028635902105374226,0.9980733818791365,1,0.002307,19477.999132445002,123.50526397829938,1.2374367077676005,226.27823722415366,240.88131711983758,0.18475013774552362,45.36684648780982
82,10,28,25.332236100000003,28.0,0.0001,12511.23798484222,10.908274846174749,1651.802156685463,0.04167367870848232,1048.6212742,8423356.320179177,1560153.3286728708,23.817031600015238,15.455254844804198,2264.3945377659984,0,39.272286444819436,16466.7069657385,9999976.355817787,0.0016466745900012552,3.980878926637555,0.0016466745900012552,11.332236100000003,11.332236100000003,10000000,0.173,3.445526329924899,3,0.01,10,0.24,0.5834211119999998,0.0020101952289082736,0.0008444090417664665,0.9980489274582208,1,0.002307,19432.683130653364,124.86827651946331,1.251123798484222,244.70643176070024,235.26684731669116,0.1651802156685463,20.543990172283017
83,10,28,25.544858400000003,28.0,0.0001,12625.41555311919,11.068725885051172,1436.9141193253863,0.04332035329848358,1059.9535103,8403781.670308162,1579586.011803524,25.06815539849946,15.620435060472744,2509.1009695266985,0,40.6885904589722,16612.119232430246,9999979.801344117,0.0016612152786746007,4.030364673799127,0.0016612152786746007,11.544858400000003,11.544858400000003,10000000,0.173,2.936590127388521,3,0.01,10,0.24,0.5664113279999998,0.0001,4.078161561599999e-05,0.9980271564908205,1,0.002307,19387.52441340093,126.00507583994525,1.262541555311919,275.2250435763937,228.51288712936676,0.14369141193253865,10.513869056856958
84,10,28,25.392948699999998,28.0,0.0001,12703.445930956796,10.953613889204318,1218.771409840944,0.044981568577158175,1071.4983687000001,8384260.563539991,1598973.5362169251,26.33069695381138,15.764126472405282,2784.326013103092,0,42.094823426216664,16748.638177327048,9999982.737934245,0.0016748667088986309,4.080778902620088,0.0016748667088986309,11.392948699999998,11.392948699999998,10000000,0.173,2.5038230688804695,3,0.01,10,0.24,0.5785641040000001,0.0001,4.165661548800001e-05,0.9980063540254303,1,0.002307,19342.48922008676,126.7811975711338,1.2703445930956796,323.58243706309827,205.18505710214808,0.1218771409840944,10.528127559832889
85,10,28,25.06721195,28.0,0.0001,12710.559403973883,10.714676955453072,1023.9926031576447,0.046656435286056806,1082.8913174000002,8364783.268817842,1618316.0254370118,27.60104154690706,15.886003613389377,3107.90845016619,0,43.48704516029643,16885.947502458013,9999985.241757313,0.0016885972423185916,4.130529770305677,0.0016885972423185916,11.06721195,11.06721195,10000000,0.173,2.1356763760166784,3,0.01,10,0.24,0.6046230439999999,0.0001,4.353285916799999e-05,0.9979853717598902,1,0.002307,19297.55510116276,126.84952352051044,1.2710559403973882,726.5817363517635,196.29631705595975,0.10239926031576448,10.552212244294628
86,10,28,25.55505395,28.0,0.0001,12305.852452258192,11.076538427085369,838.1460990856638,0.048345032528375395,1093.9585293500002,8345350.447657291,1637613.5805381746,28.872097487304448,15.988402873705141,3834.4901865179536,0,44.860500361009585,17023.34923822282,9999987.377433687,0.0017023370726085407,4.17885820676856,0.0017023370726085407,11.555053950000001,11.555053950000001,10000000,0.173,1.822377492034296,3,0.01,10,0.24,0.5655956839999998,0.0001,4.0722889247999984e-05,0.9979642922390598,1,0.002307,19252.72358274537,122.80801332916145,1.2305852452258192,0.0,179.32294492331818,0.08381460990856639,10.500109712557034
87,10,28,25.41131655,28.0,0.0001,12606.752825265447,10.96740501282177,669.239449264994,0.05004736960098394,1105.5135833000002,8325966.238328996,1656866.30412092,30.102682732530265,16.072217483613706,3834.4901865179536,0,46.17490021614397,17156.65736126454,9999989.199811181,0.0017156675890798454,4.229316957641922,0.0017156675890798454,11.411316549999999,11.411316549999999,10000000,0.173,1.5556507292851733,3,0.01,10,0.24,0.5770946760000001,0.0001,4.155081667200001e-05,0.9979436168475803,1,0.002307,19208.004211824995,125.80828511148852,1.2606752825265448,791.2416193664712,155.5082469157362,0.0669239449264994,10.522743699048617
88,10,28,25.8087247,28.0,0.0001,12095.567062643673,11.27453288148106,524.18702210338,0.05176303719006378,1116.9248998500002,8306623.45873909,1676074.308332745,31.36335801505681,16.139141428540206,4625.731805884425,0,47.50249944359702,17292.988390075072,9999990.75546191,0.0017293004376658836,4.279148034279477,0.0017293004376658836,11.808724699999999,11.808724699999999,10000000,0.173,1.3284825173957477,3,0.01,10,0.24,0.545302024,0.0001,3.926174572800001e-05,0.9979224937564048,1,0.002307,19163.38041931108,120.70438446551206,1.2095567062643673,0.0,140.814640808465,0.052418702210337995,10.473906485113968
89,10,28,25.66547385,28.0,0.0001,12355.876531211386,11.161861810130363,393.7938690778186,0.05349233762772967,1128.7336245500003,8287330.228511346,1695237.688752056,32.572914721321176,16.191560130750545,4625.731805884425,0,48.76447485207172,17424.1666810257,9999992.083944427,0.0017424180474103796,4.330714517685591,0.0017424180474103796,11.665473850000001,11.665473850000001,10000000,0.173,1.1349313229220666,3,0.01,10,0.24,0.5567620919999998,0.0001,4.0086870623999986e-05,0.9979019046377684,1,0.002307,19118.870937175674,123.29952723964945,1.2355876531211387,410.0072293323522,115.99010826001388,0.039379386907781866,10.494269219645618
90,10,28,25.6125987,28.0,0.0001,12183.923349725577,11.120840842883835,288.25865065054256,0.055234755675140045,1140.3990984000002,8268078.698709033,1714356.5596892317,33.80850237444231,16.230939517658328,5035.739035216777,0,50.03944189210064,17557.960477485,9999993.218875749,0.0017557972383764233,4.381655451528385,0.0017557972383764233,11.6125987,11.6125987,10000000,0.173,0.9699568332341448,3,0.01,10,0.24,0.560992104,0.0001,4.0391431488e-05,0.9978809159513388,1,0.002307,19074.457657921743,121.58104592105063,1.2183923349725578,364.6269125492833,95.1026468797903,0.028825865065054256,10.49108324865595
