,p_opt,ip_opt,Temp,ip,RRDD,I,p,L,AUDPC,GDUsum,H,HSEN,LeakI,LeakL,R,LAT,CumuLeak,DIS,TOTSITES,Sev,DVS8,RAUPC,GDU,RTinc,SITEmax,RRG,RG,Rc_W,RRLEX,inocp,RcOpt,RcT,RcA,Rc,COFR,Agg,RRSEN,RSEN,RLEX,RDI,REM,RT,RDL,RI
43,7,28,26.9184365,28.0,0.0001,3279.3964092784126,8.561667724198257,7705.810659131418,0.0076409025835486215,581.03123705,9208040.520480007,765691.5041794422,2.2990020957977313,5.025014770478736,82.37654404807884,0,7.324016866276467,11074.907629324185,9984806.932288773,0.0011091759414506308,1.9390010351528382,0.0011091759414506308,12.918436499999999,12.918436499999999,10000000,0.173,2420.2420278959235,3,0.01,10,0.33999999999999997,0.45652508000000014,1.0,0.4656555816000001,0.9987987017067216,1,0.002307,21242.949580747376,32.75456875968963,0.3279396409278413,9.966303226873455,437.79926011919383,0.7705810659131418,1535.2347765850468
44,7,28,26.5470344,28.0,0.0001,3739.655995289495,8.325301894773299,8802.475594531357,0.008750078524999252,593.9496735499999,9187649.823581811,786934.4537601896,2.6269417367255725,5.795595836391877,92.34284727495229,0,8.422537573117449,12642.896974668922,9987227.17431667,0.0012659066179231027,1.9954134216157202,0.0012659066179231027,12.547034400000001,12.547034400000001,10000000,0.173,2030.193918704208,3,0.01,10,0.33999999999999997,0.4862372479999999,1.0,0.4959619929599999,0.9986258157910106,1,0.002307,21195.90824300324,37.345170190737164,0.37396559952894953,10.425187158915822,493.4160536305147,0.8802475594531358,1862.178503522838
45,7,28,26.5633343,28.0,0.0001,4259.618066352302,8.335401244670395,10170.357796864228,0.010015985142922354,606.49670795,9166584.585583799,808130.3620031928,3.000907336254522,6.675843395845013,102.76803443386811,0,9.676750732099535,14542.420648382496,9989257.368235374,0.0014558059835985035,2.0502039648471615,0.0014558059835985035,12.563334300000001,12.563334300000001,10000000,0.173,1703.5870994405345,3,0.01,10,0.33999999999999997,0.4849332559999999,0.9548164316375547,0.47228268589782674,0.9984160527745111,1,0.002307,21147.310738941826,42.52871056134461,0.4259618066352302,9.771461430050593,572.4409391017828,1.017035779686423,2018.5573651683103
46,7,28,25.964823250000002,28.0,0.0001,4864.390292778743,7.979949379689858,11615.457187151069,0.011471791126520858,619.0600422499999,9145079.775868569,829277.6727421345,3.4268691428897524,7.692879175531436,112.5394958639187,0,11.119748318421188,16603.50672411215,9990960.955334814,0.0016618528286056883,2.1050656866812223,0.0016618528286056883,11.964823250000002,11.964823250000002,10000000,0.173,1430.066172901169,3,0.01,10,0.33999999999999997,0.5328141399999998,0.9054408819869,0.4920803389538252,0.9981877231277293,1,0.002307,21097.69914292879,48.55574670753442,0.4864390292778743,10.362695900935869,627.592355988219,1.161545718715107,2399.332829799962
47,7,28,26.3366823,28.0,0.0001,5529.689260544283,8.197130628090424,13386.036115244096,0.013133643955126546,631.0248654999999,9122964.254322033,850375.3718850634,3.9133081721676266,8.854424894246543,122.90219176485456,0,12.76773306641417,19051.395300619646,9992391.021507716,0.0019065902504829169,2.1573138231441042,0.0019065902504829169,12.3366823,12.3366823,10000000,0.173,1200.904391188297,3,0.01,10,0.33999999999999997,0.503065416,0.8584175591703062,0.4404769902358289,0.9979160618368219,1,0.002307,21046.67863472093,55.181657300637184,0.5529689260544283,20.817251309831832,1775.2069866335823,1.3386036115244098,2440.625032400962
48,7,28,26.0402145,28.0,0.0001,7338.707684242616,8.0230459128473,14050.115557399951,0.015040234205609463,643.3615477999999,9100622.6733888,871422.0505197843,4.466277098222055,10.193028505770954,143.7194430746864,0,14.659305603993008,21547.201990321246,9993591.925898906,0.002156101845071397,2.2111857982532745,0.002156101845071397,12.040214500000001,12.040214500000001,10000000,0.173,1008.8921351090875,3,0.01,10,0.33999999999999997,0.5267828399999999,0.809932781572053,0.43519186470333815,0.9976379301981124,1,0.002307,20995.13660750796,73.21373144436785,0.7338707684242616,20.53836935979782,1173.8341407205062,1.4050115557399951,3196.2020309163872
49,7,28,26.28369525,28.0,0.0001,8564.483316279267,8.16546453592029,16071.078436040092,0.017196336050680862,655.4017623,9077367.01315404,892417.1871272923,5.200147866646317,11.598040061510948,164.25781243448424,0,16.798187928157265,24816.617752682003,9994600.818034014,0.002483002393442618,2.2637631541484713,0.002483002393442618,12.283695250000001,12.283695250000001,10000000,0.173,847.8791635757927,3,0.01,10,0.33999999999999997,0.5073043799999999,0.7626131612663758,0.39461453689520026,0.9972735533846607,1,0.002307,20941.48579934637,85.41132709729469,0.8564483316279268,22.054292802298775,0.0,1.6071078436040094,3380.4551288103407
50,7,28,26.65550575,28.0,0.0001,8626.983902242635,8.392974503323721,19449.92645700683,0.01967933844412348,667.68545755,9053807.54006236,913358.6729266386,6.056596198274244,13.205147905114957,186.312105236783,0,19.2617441033892,28282.484208589638,9995448.697197588,0.0028295362284755823,2.3174037447598255,0.0028295362284755823,12.65550575,12.65550575,10000000,0.173,712.874519591712,3,0.01,10,0.33999999999999997,0.47755954,0.7143366297161571,0.34796103773824627,0.9968859057625494,1,0.002307,20887.134094923866,86.00118661386082,0.8626983902242635,27.71997435081443,1334.7238745773577,1.944992645700683,3002.5062140879586
51,7,28,26.42546825,28.0,0.0001,10019.126290692815,8.250745002677533,21115.76380387173,0.02250887467259906,680.3409633,9030544.773086326,934245.8070215625,6.9192945884985075,15.15014055081564,214.03207958759742,0,22.069435139314148,31370.991609291457,9996161.57171718,0.003138303776326659,2.3726679620087334,0.003138303776326659,12.425468250000002,12.425468250000002,10000000,0.173,599.6716034667099,3,0.01,10,0.33999999999999997,0.49596253999999984,0.6645988341921398,0.33620844840471187,0.9965381501634003,1,0.002307,20833.466891510157,99.84441579980509,1.0019126290692815,36.19318782502128,1295.8220631307397,2.111576380387173,3366.853611792737
52,7,28,26.5646841,28.0,0.0001,11377.597669169269,8.336238673777668,23184.68377615334,0.02564717844892572,692.76643155,9006844.279770691,955079.2739130727,7.921207217567789,17.261716931202812,250.2252674126187,0,25.182924148770603,34837.689636883995,9996761.243320648,0.003484897637238346,2.426927648689956,0.003484897637238346,12.564684100000001,12.564684100000001,10000000,0.173,504.65790332819506,3,0.01,10,0.33999999999999997,0.4848252719999999,0.6157651161790396,0.3045092597384067,0.9961469901557302,1,0.002307,20778.789853430986,113.33759673345818,1.1377597669169268,38.569964388968174,3397.413280107885,2.318468377615334,3461.2347681835413
53,7,28,26.4904117,28.0,0.0001,14848.640821854726,8.290408080015288,23246.18679585138,0.029132076086164065,705.33111565,8982995.575455671,975858.0637665036,9.058966984484716,19.580185308818145,288.79523180158685,0,28.63915229330286,38412.26200180099,9997265.901223976,0.0038422767165868957,2.4817952648471615,0.0038422767165868957,12.4904117,12.4904117,10000000,0.173,424.8948716963366,3,0.01,10,0.33999999999999997,0.49076706400000003,0.5663842616375546,0.2835219960032639,0.9957420989391134,1,0.002307,20723.770892576234,147.85416778346627,1.4848640821854726,43.77183206146342,2018.5573651683103,2.324618679585138,4201.990876736983
54,7,28,26.338974450000002,28.0,0.0001,16969.795658662853,8.198506004551028,25427.29568874047,0.03297435280275096,717.82152735,8958346.854390271,996581.8346590798,10.543831066670188,21.904803988403284,332.5670638630503,0,32.448635055073474,42762.10704632144,9997690.796095671,0.0042771983969559285,2.5363385473799127,0.0042771983969559285,12.338974450000002,12.338974450000002,10000000,0.173,357.87903691215064,3,0.01,10,0.33999999999999997,0.5028820439999998,0.5172953073580786,0.26534129194615547,0.9952492401514605,1,0.002307,20666.906293078355,168.89176234809761,1.6969795658662854,49.895487432582236,2399.332829799962,2.542729568874047,4491.395842050727
55,7,28,26.3005318,28.0,0.0001,19486.427783812465,8.175499834365834,27516.81597142236,0.03725155119970689,730.1605018,8933377.539529705,1017248.7409521581,12.240810632536475,24.447533557277332,382.4625512956325,0,36.688344189813805,47422.39465072027,9998048.675132584,0.004743165010655582,2.5902205318777294,0.004743165010655582,12.300531800000002,12.300531800000002,10000000,0.173,301.57224615222,3,0.01,10,0.33999999999999997,0.5059574559999999,0.4688015213100435,0.2419374975927785,0.9947195801044144,1,0.002307,20609.30208369503,193.8353126284893,1.9486427783812466,49.04580742774964,2440.625032400962,2.751681597142236,4699.60304824506
56,7,28,26.010872749999997,28.0,0.0001,22069.893678635784,8.006217828921384,29773.042305669314,0.04199471621036247,742.4610336000001,8908176.37133129,1037858.0430358532,14.189453410917721,27.19921515441957,431.5083587233822,0,41.38866856533729,52315.833011593815,9998350.247378737,0.005232446525396471,2.643934644541485,0.005232446525396471,12.010872749999997,12.010872749999997,10000000,0.173,254.24577062354038,3,0.01,10,0.33999999999999997,0.5291301800000002,0.42045881991266365,0.2269270000842349,0.9941615000807391,1,0.002307,20551.162988661286,219.41038606174973,2.2069893678635784,43.08774764875597,3196.2020309163872,2.9773042305669315,4989.014069631669
57,7,28,26.10375655,28.0,0.0001,25440.211358597302,8.059732142933923,31562.87704015403,0.04722716273575894,754.47190635,8882671.029657558,1058409.2060245145,16.3964427787813,30.176519384986502,474.59610637213814,0,46.5729621637678,57524.25746728724,9998604.493149359,0.0057532286137231,2.6963838705240177,0.0057532286137231,12.10375655,12.10375655,10000000,0.173,214.4478291380876,3,0.01,10,0.33999999999999997,0.521699476,0.37325451652838404,0.1986212194012411,0.9935656598519575,1,0.002307,20492.322165419988,252.76520385277993,2.5440211358597304,52.405501469532,3380.4551288103407,3.156287704015403,5030.453301144244
58,7,28,25.991586400000003,28.0,0.0001,29018.48216865503,7.99519511616933,33209.71892478392,0.05298039134948204,766.5756629,8857109.936816279,1078901.5281899346,18.94046391464103,33.3328070890019,527.0016078416702,0,52.27327100364293,62807.475972284265,9998818.940978497,0.006281489478210098,2.7492387026200875,0.006281489478210098,11.991586400000003,11.991586400000003,10000000,0.173,180.9713139989305,3,0.01,10,0.33999999999999997,0.5306730879999998,0.32568516764192124,0.17628900070090264,0.9929587379494975,1,0.002307,20433.352724235156,288.141554313977,2.901848216865503,65.77316670223175,3002.5062140879586,3.320971892478392,5089.618667041586
59,7,28,25.761240100000002,28.0,0.0001,32240.45492213787,7.865853542484413,35293.51040584507,0.05926188082769214,778.5672493,8831479.795184687,1099334.8809141698,21.84231213150653,36.65377898148029,592.7747745439019,0,58.496091112986825,68185.23619363984,9998999.912292497,0.006819205599733507,2.8016037087336243,0.006819205599733507,11.761240100000002,11.761240100000002,10000000,0.173,152.7980008123852,3,0.01,10,0.33999999999999997,0.5491007919999998,0.27855666213973806,0.15601479747376268,0.9923384491491272,1,0.002307,20374.223987491074,319.9344303729664,3.224045492213787,86.60572525048198,3366.853611792737,3.529351040584507,5001.450535952197
60,7,28,25.8057107,28.0,0.0001,35837.413193560875,7.8904972015752834,36924.57797896394,0.06608108642742565,790.3284894,8805936.984231682,1119709.104901661,25.066357623720318,40.1831300220648,679.3804997943839,0,65.24948764578512,73506.62115996498,9999152.710293308,0.007351284982806188,2.85296283580786,0.007351284982806188,11.805710699999999,11.805710699999999,10000000,0.173,129.07840992622903,3,0.01,10,0.33999999999999997,0.545543144,0.23233344777292597,0.12928287794548984,0.9917217086535319,1,0.002307,20315.296722622494,355.4074064604082,3.5837413193560876,225.1522857039056,3461.2347681835413,3.6924577978963944,4604.809235034405
61,7,28,26.18712995,28.0,0.0001,39425.31934118156,8.108380053861435,38064.45998801691,0.07343237141023183,802.1342000999999,8780790.549277492,1140024.4016242835,28.650098943076404,43.8755878199612,904.5327854982895,0,72.5256867630376,78466.8378014598,9999281.788703235,0.007847247378317542,2.904516157641921,0.007847247378317542,12.18712995,12.18712995,10000000,0.173,109.10180932944826,3,0.01,10,0.33999999999999997,0.5150296040000001,0.18593545812227108,0.0976775106735973,0.9911429553998621,1,0.002307,20257.283897183173,390.7612752940203,3.942531934118156,0.0,4201.990876736983,3.806445998801691,3826.858863836016
62,7,28,25.73103645,28.0,0.0001,44014.128961278446,7.849203595449651,37685.52152911714,0.08127961878854938,814.3213300499999,8756424.747050509,1160281.6855214667,32.59263087719456,47.68203381876289,904.5327854982895,0,80.27466469595745,82684.45794058984,9999390.890512565,0.008268949463615925,2.9577350657205237,0.008268949463615925,11.731036450000001,11.731036450000001,10000000,0.173,92.2716500372928,3,0.01,10,0.33999999999999997,0.5515170839999999,0.1380384408515286,0.07765316954590834,0.9906456119023961,1,0.002307,20201.071991445526,436.0240371719666,4.4014128961278445,124.60042046162197,4491.395842050727,3.768552152911714,3395.864848460616
