ID,latitude,longitude,DOY,maximum_temperature,minimum_temperature,wind_speed,precipitation,precipitation_severity,Crop,Area,Field
COORD:36.2363/59.6311DOY:70,36.2363,59.6311,70,15.8,8.7,7.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:71,36.2363,59.6311,71,12.4,6.9,3.5,0.1,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:72,36.2363,59.6311,72,10.9,7.1,5.62,3,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:73,36.2363,59.6311,73,14.7,4.4,3.88,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:74,36.2363,59.6311,74,13.8,7,4.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:75,36.2363,59.6311,75,23.3,4.2,2,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:76,36.2363,59.6311,76,21.5,11.6,3.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:77,36.2363,59.6311,77,8.4,7.6,3.38,9,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:78,36.2363,59.6311,78,13.8,6.3,3,3.6,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:79,36.2363,59.6311,79,23.5,5.3,2.25,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:80,36.2363,59.6311,80,25.6,7.5,2,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:81,36.2363,59.6311,81,20.7,8.8,4.75,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:82,36.2363,59.6311,82,21.7,8.3,1.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:83,36.2363,59.6311,83,27.3,10.3,1.62,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:84,36.2363,59.6311,84,30.8,11.1,2.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:85,36.2363,59.6311,85,24.4,16.9,6,3,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:86,36.2363,59.6311,86,22.5,11.2,4.12,0.9,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:87,36.2363,59.6311,87,27.7,10.6,2.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:88,36.2363,59.6311,88,28.6,13.6,2.12,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:89,36.2363,59.6311,89,32.9,13.3,2.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:90,36.2363,59.6311,90,26.2,16.5,4.5,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:91,36.2363,59.6311,91,6.8,5.5,5.25,0.7,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:92,36.2363,59.6311,92,14.3,5,3,0,2,Soy,Mashhad,40745
COORD:36.2363/59.6311DOY:93,36.2363,59.6311,93,26.5,5.5,3.12,0,2,Soy,Mashhad,40745
